Manufacturer, release_date, company, model_name, number_of_comments, socket, chipset, form_factor, memory, DIMM, M.2, SATA, power_supply, power_limit, power_supply_temperature, environment,MSRP
,,,,,,,,,,,,,,,,
Intel,23.04,GIGABYTE,B760M_H_DDR4,0,LGA1700,B760,M-ATX,DDR5,2,2,4,8,-,55.3(25/13100/Bundle),V_3.0,110
Intel,23.04,ASUS,TUF_Gaming_B760M-PLUS_WIFI,0,LGA1700,B760,M-ATX,DDR5,4,2,4,13,Limited,74.3(25/13900/WaterCooling),V_3.0,190
Intel,23.04,GIGABYTE,Z790_AORUS_ELITE_AX-W,0,LGA1700,Z790,ATX,DDR5,4,4,6,19,-,71.4(25/13900KF/WaterCooling),V_3.0,310
AMD,23.04,ASRock,A620M-HDV/M.2+,0,AM5,A620,M-ATX,DDR5,2,2,4,8,-,61.5(25/7800X3D/AirCooling),V_3.0,90
AMD,23.04,GIGABYTE,A620M_GAMING_X,42,AM5,A620,M-ATX,DDR5,4,1,4,11,Limited,64.2(24/7800X3D/WaterCooling),V_3.0,120
AMD,23.04,ASRock,B650M_Pro_RS,1,AM5,B650,M-ATX,DDR5,4,3,4,11,-,59.1(25/7950X/WaterCooling),V_3.0,160
AMD,23.04,ASUS,PRIME_B650M-A_II,5,AM5,B650,M-ATX,DDR5,4,2,4,11,-,58.5(25/7800X3D/WaterCooling),V_3.0,150
Intel,23.04,ASUS,PRIME_B760M-A,1,LGA1700,B760,M-ATX,DDR5,4,2,4,8,-,61.0(25/13500/AirCooling),V_3.0,130
Intel,23.03,GIGABYTE,B760M_GAMING_D4,1,LGA1700,B760,M-ATX,DDR4,2,2,4,9,Limited,83.8(25/13400/Bundle),V_3.0,100
Intel,23.03,ASUS,TUF_Gaming_B760-PLUS_WIFI,3,LGA1700,B760,ATX,DDR5,4,3,4,13,Limited,82.3(25/13900/WaterCooling),V_3.0,190
Intel,23.02,GIGABYTE,B760M_GAMING_X,0,LGA1700,B760,M-ATX,DDR5,4,2,4,10,Limited,75.2(25/13700F/WaterCooling),V_3.0,120
Intel,23.02,BIOSTAR,B760MZ-E_PRO,1,LGA1700,B760,M-ATX,DDR5,4,2,4,10,Limited,65.9(25/13500/AirCooling),V_3.0,100
Intel,23.02,GIGABYTE,H610M_S2H_DurableEdition_,0,LGA1700,H610,M-ATX,DDR5,2,1,4,8,Limited,77.6(25/13400/Bundle),V_3.0,80
Intel,23.02,NZXT,N7_Z790_Matte_Black,21,LGA1700,Z790,ATX,DDR5,4,3,4,19,Limited,77.2(25/13900K/WaterCooling),V_3.0,320
Intel,23.01,ASUS,ROG_STRIX_B760-G_GAMING_WIFI_D4,0,LGA1700,B760,M-ATX,DDR4,4,2,4,13,Limited,77.3(25/13900/WaterCooling),V_3.0,170
Intel,23.01,ASUS,ROG_STRIX_B760-F_GAMING_WIFI,0,LGA1700,B760,ATX,DDR5,4,3,4,17,Limited,65.0(25/13900/WaterCooling),V_3.0,250
Intel,23.01,GIGABYTE,B760_AORUS_ELITE,0,LGA1700,B760,ATX,DDR5,4,3,4,14,Limited,75.9(25/13900/WaterCooling),V_2.8,190
Intel,23.01,GIGABYTE,B760M_AORUS_ELITE,5,LGA1700,B760,M-ATX,DDR5,4,2,4,14,Limited,53.5(24/13500/AirCooling),V_2.8,120
Intel,23.01,GIGABYTE,B760M_AORUS_ELITE_AX,0,LGA1700,B760,M-ATX,DDR5,4,2,4,14,Limited,63.8(25/13700K/AirCooling),V_3.0,170
Intel,23.01,GIGABYTE,B760M_DS3H,0,LGA1700,B760,M-ATX,DDR5,4,2,4,9,Limited,87.1(25/13500/AirCooling),V_2.8,110
Intel,23.01,GIGABYTE,B760M_DS3H_D4,1,LGA1700,B760,M-ATX,DDR4,4,2,4,9,Limited,83.2(24/13400/Bundle),V_2.8,100
Intel,23.01,ASRock,B760M_PG_Riptide_D5,0,LGA1700,B760,M-ATX,DDR5,4,2,4,16,Limited,65.5(25/13900/WaterCooling),V_3.0,120
Intel,23.01,ASRock,B760M_SteelLegend_WiFi_D5_&_PG_SONIC,0,LGA1700,B760,M-ATX,DDR5,4,3,4,14,Limited,69.3(24/13900/AirCooling),V_2.8,150
Intel,23.01,ASUS,EX_B760M-V5_D4,0,LGA1700,B760,M-ATX,DDR4,2,2,4,8,Limited,72.2(25/13400/Bundle),V_2.8,120
Intel,23.01,ASUS,PRIME_H770-PLUS_D4,0,LGA1700,H770,ATX,DDR4,4,3,4,8,Limited,75.9(24/13900/AirCooling),V_2.8,180
Intel,23.01,ASUS,ROG_STRIX_B760-A_GAMING_WIFI_D4,0,LGA1700,B760,ATX,DDR4,4,3,4,13,Limited,84.1(25/13900/WaterCooling),V_2.8,220
Intel,23.01,ASUS,TUF_Gaming_B760M-PLUS_D4,0,LGA1700,B760,M-ATX,DDR4,4,2,4,13,Limited,68.7(25/13900/AirCooling),V_2.8,170
Intel,22.12,ASUS,TUF_Gaming_B660M-PLUS_WIFI,0,LGA1700,B660,M-ATX,DDR5,4,2,4,11,Limited,70.8(25/13900/AirCooling),V_3.0,130
Intel,22.12,ASUS,TUF_Gaming_Z790-PLUS_WIFI,0,LGA1700,Z790,ATX,DDR5,4,4,4,17,Limited,74.4(25/13900K/WaterCooling),V_3.0,300
Intel,22.12,GIGABYTE,Z790_AORUS_TACHYON,0,LGA1700,Z790,E-ATX,DDR5,4,4,4,18,Off,61.6(25/13900K/WaterCooling),V_2.8,620
Intel,22.12,GIGABYTE,Z790_AORUS_XTREME,1,LGA1700,Z790,E-ATX,DDR5,4,5,4,23,-,52.5(26/13900/WaterCooling),V_2.8,1120
AMD,22.11,GIGABYTE,B650_AORUS_ELITE,2,AM5,B650,ATX,DDR5,4,3,4,17,-,51.1(25/7950X/WaterCooling),V_2.8,200
Intel,22.11,GIGABYTE,Z790_GAMING_X,0,LGA1700,Z790,ATX,DDR5,4,4,6,19,-,64.1(24/13900KF/WaterCooling),V_2.8,250
AMD,22.1,GIGABYTE,B650_AERO_G,0,AM5,B650,ATX,DDR5,4,3,4,19,-,49.2(26/7950X/WaterCooling),V_2.8,290
AMD,22.1,ASRock,B650_LiveMixer,0,AM5,B650,ATX,DDR5,4,3,2,17,-,65.4(25/7950X/WaterCooling),V_2.8,240
AMD,22.1,ASRock,B650E_PG_Riptide_WiFi,1,AM5,B650E,ATX,DDR5,4,3,4,17,-,59.7(25/7950X/WaterCooling),V_3.0,270
AMD,22.1,ASRock,B650E_PG-ITX_WiFi,0,AM5,B650E,M-ITX,DDR5,2,2,2,13,-,66.6(26/7950X/WaterCooling),V_2.8,380
AMD,22.1,ASRock,B650E_SteelLegend_WiFi,0,AM5,B650E,ATX,DDR5,4,3,2,19,-,55.2(26/7950X/WaterCooling),V_2.8,270
AMD,22.1,GIGABYTE,B650M_AORUS_ELITE_AX,0,AM5,B650,ATX,DDR5,4,2,4,15,-,48.1(26/7950X/WaterCooling),V_2.8,200
AMD,22.1,GIGABYTE,B650M_DS3H_DurableEdition,0,AM5,B650,M-ATX,DDR5,4,2,4,9,-,63.9(26/7900X/WaterCooling),V_2.8,150
AMD,22.1,ASRock,B650M_PG_Riptide,0,AM5,B650,ATX,DDR5,4,3,4,17,-,60.6(25/7900X/WaterCooling),V_2.8,180
Intel,22.1,ASUS,ROG_MAXIMUS_Z790_APEX,0,LGA1700,Z790,ATX,DDR5,2,2,6,24,-,54.5(24/13900KF/WaterCooling),V_2.8,850
Intel,22.1,ASUS,ROG_MAXIMUS_Z790_EXTREME,0,LGA1700,Z790,E-ATX,DDR5,4,3,6,25,-,52.8(26/13900K/WaterCooling),V_2.8,1500
Intel,22.1,ASUS,ROG_MAXIMUS_Z790_HERO,0,LGA1700,Z790,ATX,DDR5,4,3,6,21,-,57.3(24/13900KF/WaterCooling),V_2.8,750
Intel,22.1,ASUS,ROG_STRIX_Z790-A_GAMING_WIFI_D4,0,LGA1700,Z790,ATX,DDR5,4,4,4,17,Limited,68.8(25.0/13900K/WaterCooling),V_3.0,330
